PRODCODE,BARCODE
000208140800672452,1501100007
000208780801312652,1501100008
000208780701242422,1501100009
000208790701212652,1501100010
000208140800622402,1501100011
000208010801512652,1501100012
C05910610,1600200001
C08211200,1600200002
C08250040,1600200003
C01520360,1600400001
C01130030,1600400002
C09320310,1600400003
C08211140,1600400004
C03350230,1600400005
C01645510,1600400006
C08211160,1600400007
C07210360,1600400008
C03120060,1600400009
C03210130,1600400010
C11210380,1600400011
C06510130,1600400012
C02810510,1600400013
C05413650,1600400014
C03720460,1600400015
C08220950,1600400016
C11130040,1600400017
C11240350,1600400018
C07350170,1600400019
C07350180,1600400020
C06510850,1600400021
C06510860,1600400022
C068100000,1600400023
C068100020,1600400024
C10520020,1600400025
C08130060,1600400026
C08221060,1600400027
C01641400,1600400028
C05123490,1600400029
C05920230,1600400030
C03011170,1600400031
C03012720,1600400032
C06166120,1600400033
C06166130,1600400034
C06166140,1600400035
C06640210,1600400036
C06640220,1600400037
C02613070,1600400038
C11110470,1600400039
C06620980,1600400040
C08211180,1600400041
C10420180,1600400042
C09640030,1600400043
C12210050,1600400044
C08221120,1600400045
C03720470,1600400046
C05123330,1600400047
C05123290,1600400048
C03330710,1600400049
C03010520,1600400050
C09640020,1600400051
C05123570,1600400052
C03721700,1600400053
C05020730,1600400054
C06310480,1600400055
C10360000,1600400056
C12210070,1600400057
C06140190,1600400058
C11630010,1600400059
C04333740,1600400060
C10220100,1600400061
C04210380,1600400062
C06121300,1600400063
C12130060,1600400064
C12210010,1600400065
C03220160,1600400066
C01520310,1600400067
C03012720,1600400068
C06181250,1600400069
C06181260,1600400070
C06181270,1600400071
C06181280,1600400072
C06181290,1600400073
C11610300,1600400074
C11610190,1600400075
C06630000,1600400076
C03740000,1600400077
C03120080,1600400078
C03720620,1600400079
C12110100,1600400080
C03720560,1600400081
C08320110,1600400082
C03040490,1600400083
C03040500,1600400084
C03040510,1600400085
C04120290,1600400086
C05510130,1600400087
C01624310,1600400088
C02530470,1600400089
C02530480,1600400090
C02530490,1600400091
C04250210,1600400092
C04250220,1600400093
C04250230,1600400094
C04250240,1600400095
C04250250,1600400096
C08221320,1600400097
C02712180,1600400098
C01510310,1600400099
C05321440,1600400100
C01520380,1600400101
C11110540,1600400102
C06311650,1600400103
C06166100,1600400104
C08210430,1600400105
C03721240,1600400106
C04220070,1600400107
C05122910,1600400108
C04333590,1600400109
C01520210,1600400110
C04340120,1600400111
C03721270,1600400112
C07260910,1600400113
C12210130,1600400114
C08241850,1600400115
C08241840,1600400116
C08241870,1600400117
C05420180,1600400118
C04280650,1600400119
C07261120,1600400120
C06230480,1600400121
C05420220,1600400122
C05123970,1600400123
C05123980,1600400124
C05123990,1600400125
C05122930,1600400126
C03721330,1600400127
C06670050,1600400128
C01330070,1600400129
C08211140,1600700001
C05910550,1600700002
C06174070,1600700003
C03850610,1600700004
C03850620,1600700005
C03850630,1600700006
C06180110,1600700007
C08211150,1600700008
C05420220,1600700009
C06310090,1600700010
C02113510,1600700011
C02310480,1600700012
C07111010,1600700013
C06410140,1600700014
C06213480,1600700015
C02520390,1600700016
C08211200,1600700017
C03824080,1600700018
C05920240,1600700019
C05920250,1600700020
C06311710,1600700021
C06311720,1600700022
C02710460,1600700023
C02730090,1600700024
C05420260,1600700025
C08110750,1600700026
C03824060,1600700027
C05420210,1600700028
000208140800622412,1601100001
000208780802712653,1601100002
000208140800672692,1601100003
000208010701422412,1601100004
000208780701272692,1601100005
C08210970,1700200001
C06215550,1700400001
C06620990,1700400002
C05124000,1700400003
C05124010,1700400004
C05124020,1700400005
C05124030,1700400006
C06640580,1700400007
C05413990,1700400008
C03510580,1700400009
C01140540,1700400010
C07260430,1700400011
C05321450,1700400012
C03020020,1700400013
C04320250,1700400014
C04320260,1700400015
C04320270,1700400016
C04320280,1700400017
C04320290,1700400018
C06213800,1700400019
C06213820,1700400020
C06215540,1700400021
C06630050,1700400022
C06630100,1700400023
C06630140,1700400024
C06180250,1700400025
C04320140,1700400026
C04250110,1700400027
C06230560,1700400028
