Bin ID,Product Code,Product Name,Unit,NS Code,NS Name,NS SubGroup,Quantity
OB_Non N1-2,C06420080,ตาไก่ เอลเฟ่น No. 999 (500 ดวง),EA,2CT-FS-05-004,ตาไก่พลาสติก เอลเฟ่น No. 999 P.500,DACT,36
OB_Non N2-1,C05120970,FlyingColourPaperเหลืองอ.120g.A4 #10P100,EA,2CT-PB-02-247,กระดาษสี Flying A4 120gsm 100s เหลืองอ่อน #10,DACT,9
OB_Non N3-1,C05121280,FlyingColourPaper ลาเวน 160g.A4 #19 P.50,EA,2CT-PB-02-262,กระดาษสี Flying A4 160gsm 50s ลาเวนเดอร์ #19,DACT,12
OB_Non N3-2,C05620010,"กระดาษโน๊ต Stick""n 21017 (50x12mm.)",EA,2CT-PB-05-144,อินเด็กซ์กระดาษ Stick'N No.21017 50×12mm คละสีนีออน 4 สี,DACT,13
OB_Non N3-2,C05620000,"กระดาษโน้ตPastel Stick""n 21016(5x1.2cm)",PAK,2CT-PB-05-143,อินเด็กซ์กระดาษ Stick'N No.21016 50×12mm คละสีพาสเทล 4 สี,DACT,36
OB_Non P2-2,S8858741724462TH,DA Whiteboard Marker : Blue,EA,2DSD-WT-WB-TS-SK-002,Double A Whiteboard Marker Blue P.1,DAOS,47
OB_Non P2-2,S8858741724493TH,DA Whiteboard Marker : Red,EA,2DSD-WT-WB-TS-SK-003,Double A Whiteboard Marker Red P.1,DAOS,28
OB_Non P2-2,S8858741724523TH,DA Whiteboard Marker : Green,EA,2DSD-WT-WB-TS-SK-004,Double A Whiteboard Marker Green P.1,DAOS,5
OB_Non P2-2,S8858741724431TH,DA Whiteboard Marker : Black,EA,2DSD-WT-WB-TS-SK-001,Double A Whiteboard Marker Black P.1,DAOS,4
OB_Non P3-2,S8858741723953TH,Assorted Note:76x76 :Mix Pastel:AN18324,EA,2DSD-NT-AN-TS-CN-013,Double A Assorted Note 76x76 mm Mix Neon P.1,DAOS,4
EX-3-2-17,C02513880,PENแผ่นใส Edding E140S ลบไม่ได้ ชุด4ด้าม,EA,2CT-WC-06-017,ปากกาเขียนแผ่นใส Edding E140S ลบไม่ได้ ชุด 4 สีี ดำ แดง น้ำเงิน เขียว P.4,DACT,26
GX-2-2-17,C05610210,"Post-it No.653 ขนาด1.5""x2"" เหลือง 12:EA",EA,2CT-PB-05-009,"กระดาษโน้ตมีกาว Post-it No.653 1.5x2"" เหลือง P.12",DACT,37
OB_Non C2-2,C07320170,ถ่าน Panasonic Neo สีดำ9V(1:EA),EA,2CT-OA-06-013,ถ่านคาร์บอนซิงก์ Panasonic Neo 9V ดำ P.1,DACT,0
OB_Non D1-2,C04230340,"เทปเยื่อกาว 2 หน้า อาร์มสตรองค์ 1/4""x20y",EA,2CT-PS-02-062,"เทปกาว 2 หน้าแบบบาง อาร์มสตรอง 1/4""x20 หลา",DACT,24
OB_Non D2-2,C04230100,เทปกาว 2 หน้าแบบบาง NUVO 18 มม.x 20 หลา,EA,2CT-PS-02-050,เทปกาว 2 หน้าแบบบาง NUVO 18 mmx20 หลา,DACT,50
OB_Non D3-1,C04250040,"กระดาษกาวในตัว 3M Y261 ขนาด 1""x30 ม.",EA,2CT-PS-02-007,"กระดาษกาวในตัว Scotch 3M Y261 1""x30 m",DACT,15
